2
127 127
0 0 -0.0855197
0 1 -0.161866
0 2 -0.0127828
0 3 0.0161745
0 4 -0.0810357
0 5 0.13988
0 6 -0.00883121
0 7 0.00384177
0 8 -0.2259
0 9 -0.15689
0 10 0.152034
0 11 0.0867592
0 12 0.070513
0 13 0.026048
0 14 0.0923206
0 15 -0.105323
0 16 0.0440378
0 17 -0.101091
0 18 0.152778
0 19 0.0367377
0 20 0.151499
0 21 0.0541439
0 22 -0.0646871
0 23 -0.08354
0 24 -0.0578164
0 25 0.00470315
0 26 -0.0281838
0 27 0.0314138
0 28 -0.186083
0 29 0.00408555
0 30 0.198198
0 31 -0.0609106
0 32 -0.183115
0 33 0.168062
0 34 -0.235994
0 35 0.0472947
0 36 -0.11686
0 37 0.167116
0 38 -0.0233214
0 39 0.174059
0 40 -0.141286
0 41 -0.0570142
0 42 0.033167
0 43 0.132237
0 44 0.0255607
0 45 -0.102762
0 46 0.162125
0 47 -0.0254292
0 48 0.0296484
0 49 -0.154659
0 50 -0.0234312
0 51 -0.0722625
0 52 -0.0750286
0 53 -0.158425
0 54 0.0991594
0 55 -0.0133559
0 56 0.025607
0 57 0.176404
0 58 -0.0355765
0 59 -0.148454
0 60 -0.0116358
0 61 -0.16231
0 62 0.0397043
0 63 0.01308
0 64 0.0642404
0 65 0.0227382
0 66 0.151132
0 67 0.194946
0 68 0.0155021
0 69 0.0415801
0 70 0.0299916
0 71 0.08635
0 72 0.0370641
0 73 -0.0422257
0 74 0.0295485
0 75 0.161296
0 76 -0.0546595
0 77 -0.03917
0 78 0.0521254
0 79 0.0837196
0 80 0.0363601
0 81 0.00414319
0 82 0.0684224
0 83 -0.0746114
0 84 -0.0575428
0 85 0.0972224
0 86 0.0267101
0 87 -0.0542495
0 88 0.0549014
0 89 -0.0971005
0 90 0.112268
0 91 -0.0249544
0 92 0.107423
0 93 0.111888
0 94 0.136154
0 95 -0.0343415
0 96 0.0415844
0 97 0.0501334
0 98 -0.141585
0 99 0.058904
0 100 -0.138251
0 101 -0.109798
0 102 0.104069
0 103 -0.0765798
0 104 -0.105837
0 105 -0.0359794
0 106 -0.0158809
0 107 -0.0147022
0 108 -0.10791
0 109 0.0301251
0 110 0.1035
0 111 0.14128
0 112 -0.145351
0 113 0.255518
0 114 -0.128438
0 115 -0.124716
0 116 0.0636969
0 117 0.0680508
0 118 0.099455
0 119 0.00701317
0 120 0.081916
0 121 0.050859
0 122 -0.126638
0 123 0.166105
0 124 0.0305854
0 125 0.0223293
0 126 -0.0770094
1 0 -0.143109
1 1 -0.0824941
1 2 0.124575
1 3 -0.0996246
1 4 0.0850857
1 5 0.119263
1 6 -0.0492385
1 7 -0.0876026
1 8 -0.138228
1 9 0.140832
1 10 0.013646
1 11 0.0508326
1 12 -0.0434106
1 13 0.0762549
1 14 -0.0414241
1 15 -0.132475
1 16 0.0708467
1 17 -0.0191965
1 18 -0.0243339
1 19 0.0206012
1 20 -0.00362334
1 21 0.0430755
1 22 0.0488496
1 23 -0.0577883
1 24 0.0326128
1 25 0.0518631
1 26 -0.0579957
1 27 -0.0709356
1 28 -0.189881
1 29 -0.0708721
1 30 0.0352622
1 31 -0.0138626
1 32 -0.0892558
1 33 0.0361265
1 34 -0.175705
1 35 -0.160361
1 36 -0.203831
1 37 0.044008
1 38 -0.123173
1 39 0.0973671
1 40 -0.156249
1 41 -0.0829452
1 42 0.0179711
1 43 0.124844
1 44 -0.0152997
1 45 0.132411
1 46 -0.118245
1 47 0.0691316
1 48 -0.103021
1 49 -0.0678494
